总序号,性别,年龄,职业,学历,收入,玩家游戏情况,游戏进入,游戏偏好
322,1,3,2,2,3,4,2,2
323,2,1,1,1,1,4,5,3
324,1,2,1,4,1,1,2,2
325,2,2,3,4,3,4,3,2
326,1,1,1,1,4,1,2,5
327,1,3,2,4,5,3,3,6
328,1,2,1,5,1,2,1,3
329,2,3,6,5,2,1,3,3
330,2,5,5,5,1,2,4,6
331,1,1,1,3,1,4,2,5
332,1,1,1,1,1,1,1,6
333,NA,2,1,4,1,4,4,4
334,1,1,1,1,1,2,1,1
335,1,2,1,3,NA,4,5,3
336,1,1,1,5,1,4,5,6
337,1,3,7,5,2,2,5,3
338,2,1,1,1,1,2,3,3
339,1,1,1,1,NA,2,2,4
340,1,2,1,3,1,3,3,2
341,2,4,2,4,4,1,5,4
342,1,NA,2,2,4,2,3,2
343,1,5,2,4,4,2,1,3
344,2,3,5,4,3,2,1,2
345,2,2,1,4,1,4,5,3
346,2,2,1,4,1,2,5,3
347,1,1,1,2,1,2,3,5
348,1,1,1,1,1,4,2,6
349,NA,3,1,5,1,3,5,3
350,1,1,1,1,1,1,2,3
351,1,1,1,1,5,4,3,1
352,1,3,3,2,4,2,2,3
353,2,3,2,5,3,4,3,5
354,1,1,1,2,1,2,4,3
355,1,1,1,2,NA,2,1,3
356,1,5,2,3,2,3,2,3
357,1,5,7,2,2,2,3,2
358,1,2,2,5,5,2,1,1
359,1,3,7,2,3,2,2,1
360,1,4,3,3,4,2,2,1
361,NA,1,1,1,1,4,1,5
362,2,4,2,3,3,2,1,2
363,2,NA,6,3,1,2,3,2
364,1,3,5,3,1,4,3,5
365,2,3,2,4,4,2,1,4
366,2,2,1,2,1,4,1,5
367,2,3,6,2,1,4,1,1
368,1,3,3,3,3,2,5,3
369,1,4,5,5,1,3,2,3
370,1,4,4,5,NA,2,1,1
371,1,2,5,2,2,2,1,4
372,2,4,2,2,3,3,3,1
373,1,1,1,1,1,2,3,3
374,1,4,2,5,3,2,1,3
375,2,2,1,4,1,4,3,1
376,1,NA,1,1,1,4,3,5
377,2,2,1,3,1,2,3,2
378,1,2,1,3,1,3,3,3
379,1,1,1,1,1,2,2,4
380,NA,1,1,3,1,4,5,1
381,1,1,1,4,3,4,4,5
382,2,4,5,5,3,2,1,2
383,1,2,1,5,1,2,3,3
384,2,2,7,1,1,3,5,4
385,1,5,3,5,5,4,5,5
386,1,2,7,1,3,2,2,2
387,1,2,1,4,1,3,2,3
388,1,3,2,5,3,2,3,2
389,2,2,7,4,3,2,5,3
390,2,1,1,1,1,3,1,3
391,2,2,1,3,1,1,3,5
392,1,1,1,1,1,2,3,1
393,1,2,2,4,4,3,3,3
394,1,2,1,5,1,4,2,2
395,1,3,2,3,3,3,3,6
396,1,3,2,3,3,4,4,3
397,2,2,1,5,2,4,3,4
398,1,2,1,3,1,4,1,3
399,1,3,2,4,3,4,5,3
400,1,2,1,2,1,3,3,1
401,2,1,1,3,1,4,1,3
402,NA,3,5,4,NA,4,4,5
403,1,3,2,4,4,2,2,3
404,1,3,2,4,4,2,3,3
405,2,1,1,1,1,4,5,2
406,1,3,2,4,4,2,3,3
407,1,3,2,4,3,4,3,1
408,1,1,1,1,1,4,3,3
409,1,3,1,5,1,2,2,1
410,1,1,1,1,1,2,2,3
411,1,2,1,4,1,4,5,5
412,1,2,1,4,1,4,5,1
413,1,2,2,3,3,4,3,3
414,1,3,3,5,5,4,3,1
415,1,3,3,4,3,4,2,3
416,2,3,2,4,3,2,3,1
417,2,2,4,2,2,2,3,2
418,1,NA,1,5,1,4,3,5
419,2,3,7,5,3,2,4,3
420,1,3,5,4,3,4,1,3
421,1,3,5,3,3,2,4,5
422,1,1,2,5,5,4,2,2
423,1,1,1,1,1,2,5,1
424,1,2,2,3,4,1,2,3
425,1,2,1,5,1,2,2,3
426,2,2,1,3,1,1,1,2
427,1,4,2,5,5,1,4,5
428,1,4,2,4,4,3,4,3
429,1,3,2,3,4,4,2,2
430,1,4,3,5,3,2,3,1
431,1,2,1,3,1,2,4,3
432,2,4,2,4,3,1,1,6
433,1,1,1,1,1,2,1,2
434,1,1,1,1,5,3,2,2
435,1,2,1,3,1,3,2,4
436,1,3,5,4,3,2,1,3
437,1,1,1,1,1,2,2,4
438,1,1,1,1,2,4,2,1
439,2,1,1,1,1,1,5,3
440,1,2,1,3,1,2,1,4
441,NA,1,1,2,2,2,1,5
442,1,1,1,3,1,2,4,3
443,NA,1,1,1,1,4,5,3
444,2,1,1,1,1,1,1,3
445,1,5,7,1,NA,2,4,5
446,2,1,1,2,1,4,5,2
447,1,3,5,3,1,2,2,1
448,1,3,4,4,NA,4,3,5
449,2,1,1,2,1,2,1,2
450,1,1,1,2,1,4,3,3
451,2,2,1,5,1,3,1,3
452,2,1,7,1,1,4,5,2
453,1,1,1,1,1,4,5,5
454,2,4,4,4,5,1,1,6
455,1,5,4,5,5,1,5,5
456,1,2,1,5,1,4,2,1
457,2,2,1,5,1,4,1,2
458,2,3,2,4,3,2,3,4
459,1,1,1,3,1,4,3,2
460,2,1,1,3,1,2,1,3
461,1,1,1,2,1,4,5,5
462,1,1,1,1,2,2,1,3
463,1,1,1,2,1,3,3,2
464,1,1,6,2,1,4,5,4
465,2,1,1,2,1,4,4,3
466,1,1,1,2,1,2,2,3
467,1,1,1,5,1,1,4,6
468,2,2,6,3,1,1,1,3
469,2,3,2,3,4,1,5,3
470,1,2,1,3,1,2,1,1
471,1,4,6,1,1,2,2,3
472,1,3,5,2,5,3,3,2
473,2,2,1,5,1,4,3,2
474,2,1,1,1,1,2,5,5
475,1,2,1,1,5,2,2,1
476,2,1,1,2,1,2,1,3
477,1,NA,2,4,3,3,2,3
478,2,1,1,1,NA,4,4,1
479,2,1,1,1,1,4,1,5
480,1,1,1,3,1,4,5,4
481,NA,2,1,2,1,4,5,5
482,1,2,1,4,5,3,2,5
483,1,1,7,2,3,4,3,3
484,1,2,1,5,5,2,1,5
485,1,1,1,3,NA,3,5,4
486,2,1,7,4,1,2,1,2
487,1,5,4,3,4,4,1,2
488,1,1,1,1,1,2,1,4
489,1,1,1,1,1,4,3,4
490,2,4,7,3,1,1,3,1
491,2,2,2,4,3,2,3,4
492,1,2,1,2,1,2,3,3
493,1,1,1,1,1,2,3,3
494,2,NA,1,1,1,4,1,3
495,1,2,6,3,1,2,2,4
496,1,1,1,1,1,1,2,1
497,1,1,1,1,1,2,5,4
498,1,1,1,1,1,2,2,3
499,1,5,7,5,5,2,2,2
500,2,2,1,2,1,1,3,1
501,1,1,1,1,1,2,1,3
502,1,2,1,3,1,2,1,6
503,1,1,1,1,1,4,2,1
504,1,1,1,1,1,2,3,2
505,2,2,6,3,1,2,1,3
506,2,2,1,5,1,4,1,4
507,2,1,1,2,1,2,5,2
508,NA,1,1,1,2,2,4,5
509,2,3,5,4,4,2,3,4
510,1,3,1,5,1,2,3,4
511,1,1,1,1,2,2,3,4
512,2,2,5,2,3,4,3,3
513,1,3,4,5,5,2,3,2
514,2,3,1,5,1,4,3,2
515,1,4,5,5,1,2,3,5
516,1,3,4,3,3,3,5,5
517,1,4,2,3,3,1,2,2
518,2,1,1,2,1,2,3,6
519,1,3,5,5,3,1,1,4
520,2,1,1,1,1,4,1,2
521,1,1,1,2,1,4,1,3
522,1,2,1,2,1,2,3,4
523,2,4,7,4,NA,2,5,1
524,2,1,1,1,1,2,3,2
525,1,2,1,3,1,3,5,5
526,1,1,1,1,1,4,2,3
527,1,5,4,5,4,2,2,6
528,2,1,1,1,3,1,1,1
529,2,2,1,5,1,4,1,2
530,1,1,1,2,1,2,5,3
531,1,1,1,2,1,3,3,5
532,1,1,1,2,1,2,5,5
533,1,1,1,1,1,4,1,3
534,1,1,1,2,1,4,2,5
535,2,1,1,5,1,1,5,1
536,1,4,7,5,5,3,3,6
537,2,1,1,1,1,1,1,2
538,2,2,1,3,1,2,3,3
539,1,1,1,1,1,2,2,5
540,1,1,1,2,1,4,3,5
541,1,1,1,1,1,4,3,1
542,1,1,1,2,1,4,2,3
543,1,3,7,3,2,3,2,3
544,NA,1,7,1,5,4,3,3
545,1,1,1,1,1,2,2,6
546,1,3,2,5,3,3,3,2
547,1,4,4,5,4,3,3,3
548,1,1,1,1,5,2,5,1
549,1,2,1,2,NA,4,3,4
550,1,4,5,4,3,2,3,2
551,1,1,1,1,3,2,2,3
552,1,1,4,2,2,3,2,5
553,1,4,4,4,3,4,3,3
554,1,1,1,2,1,4,3,3
555,1,3,2,3,3,4,2,3
556,1,1,1,1,1,2,4,5
557,2,2,1,4,1,4,1,3
558,1,3,2,3,4,4,3,1
559,2,2,3,3,4,4,3,2
560,1,1,1,2,1,1,1,1
561,2,2,7,2,1,3,3,1
562,2,1,1,1,3,3,1,5
563,1,1,1,1,1,4,2,6
564,1,4,5,2,5,2,2,3
565,1,NA,6,2,1,4,2,5
566,2,1,1,1,1,2,3,2
567,1,2,1,3,1,4,2,4
568,1,1,1,2,1,2,1,5
569,1,3,7,5,2,2,3,3
570,1,4,2,4,4,2,2,1
571,1,1,1,1,1,2,2,1
572,2,1,1,2,1,3,1,4
573,1,5,6,1,5,2,2,1
574,1,2,1,5,1,4,3,6
575,1,1,1,2,1,4,1,1
576,NA,2,1,4,1,2,3,2
577,1,3,2,5,3,2,2,3
578,2,1,1,1,1,4,3,4
579,2,1,1,2,1,4,5,3
580,1,1,1,2,1,2,1,3
581,1,5,4,4,4,2,3,3
582,1,2,1,2,1,2,4,6
583,1,5,2,5,5,2,5,2
584,1,1,1,2,1,2,4,2
585,1,2,1,3,1,1,1,1
586,1,2,1,5,1,3,1,3
587,1,4,5,2,3,2,1,1
588,2,2,1,4,1,2,3,1
589,2,2,2,4,3,3,5,6
590,2,1,1,2,1,1,3,2
591,2,1,1,1,1,1,1,3
592,1,2,1,3,1,3,1,2
593,2,1,1,5,1,2,1,5
594,1,2,1,3,1,2,2,3
595,2,2,1,3,1,1,1,3
596,2,1,1,1,4,2,1,5
597,2,2,3,2,5,2,3,2
598,1,2,1,5,NA,3,2,3
599,2,1,1,1,1,4,1,2
600,1,1,1,2,1,2,1,1
601,2,2,3,3,4,2,3,3
602,1,1,1,1,1,4,2,5
603,1,1,1,1,1,4,5,3
604,1,1,1,2,1,2,4,5
605,1,1,1,1,1,2,3,3
606,2,3,1,1,NA,1,1,1
607,1,1,1,3,1,1,2,3
608,1,2,7,3,1,3,5,6
609,1,2,1,3,1,3,3,5
610,1,4,2,2,3,2,3,4
611,1,1,1,1,1,4,2,4
612,1,3,7,2,4,4,3,1
613,1,2,1,3,1,2,1,3
614,1,1,1,1,1,4,1,2
615,1,1,1,1,1,4,2,1
616,2,1,1,1,1,4,1,5
617,1,1,1,1,5,2,1,5
618,1,1,1,3,2,2,3,3
619,1,NA,3,5,5,2,5,4
620,NA,1,1,1,1,4,1,4
621,1,1,1,1,1,4,1,5
622,1,1,1,1,1,2,1,5
623,2,1,1,2,1,4,3,4
624,1,2,1,4,1,4,3,5
625,NA,1,1,2,1,4,3,3
626,2,5,7,1,1,1,5,5
627,NA,1,1,3,1,4,3,5
628,2,1,1,2,1,2,3,4
629,NA,1,1,2,1,2,1,4
630,1,2,1,3,1,2,3,2
631,1,1,1,1,2,4,2,2
632,2,1,1,1,1,4,1,2
633,1,3,2,5,3,3,3,1
634,2,1,2,1,3,1,5,4
635,2,2,2,3,1,2,3,2
636,NA,2,1,3,1,2,3,3
637,1,4,3,3,4,3,4,5
638,1,1,1,1,1,4,2,2
639,1,1,1,2,1,4,3,3
640,1,1,1,2,1,4,5,3
641,1,1,1,1,1,1,1,5
642,2,1,1,1,NA,4,1,2
643,2,4,2,3,2,1,1,2
644,1,2,1,5,1,4,2,3
645,1,1,1,1,1,2,1,1
646,2,2,6,3,1,2,1,3
647,2,1,1,2,2,1,3,2
648,1,3,7,5,4,1,2,3
649,1,1,7,2,2,2,1,1
650,1,1,1,2,1,3,2,5
651,2,1,1,1,1,3,1,3
652,1,2,1,3,1,2,3,3
653,1,2,7,2,2,3,2,2
654,1,3,6,2,1,3,5,4
655,1,2,1,2,1,2,2,5
656,1,4,2,3,5,2,2,1
657,2,1,1,1,1,3,1,4
658,1,3,2,3,4,2,3,3
659,2,1,1,2,1,1,3,2
660,1,1,1,2,3,4,3,5
661,1,3,7,4,3,1,1,2
662,1,4,2,3,5,2,3,3
663,2,1,1,1,1,4,1,3
664,1,2,1,5,1,3,3,4
665,2,3,3,2,3,4,3,2
666,2,3,5,3,NA,4,3,2
667,1,1,1,2,1,1,2,3
668,2,2,1,5,NA,4,3,2
669,2,2,1,3,1,2,4,1
670,2,3,6,2,2,2,1,5
671,NA,1,1,1,1,4,3,4
672,2,2,6,5,1,4,3,3
673,1,3,5,3,4,4,2,3
674,2,1,2,1,1,2,4,5
675,1,1,1,1,1,2,2,3
676,2,1,1,1,1,2,3,2
677,1,2,2,4,3,4,3,5
678,1,3,5,3,4,3,4,1
679,1,3,7,3,1,4,3,2
680,1,4,6,3,1,2,3,2
681,2,2,5,3,3,4,5,2
682,1,1,1,1,1,2,2,3
683,1,1,1,2,1,2,2,3
684,1,1,1,1,1,2,3,4
685,1,1,1,1,1,2,3,5
686,2,4,5,3,3,2,1,3
687,1,1,1,3,1,2,3,3
688,1,4,2,2,3,2,3,2
689,1,1,1,3,1,3,3,4
690,NA,1,1,1,1,2,1,1
691,2,2,1,5,1,4,3,5
692,NA,5,4,5,5,2,4,6
693,1,3,2,5,4,4,2,2
694,1,2,2,4,3,4,2,3
695,1,5,2,3,2,3,2,3
696,1,1,1,1,1,1,3,5
697,1,4,7,5,5,4,5,6
698,1,2,1,3,1,3,2,2
699,1,NA,2,3,3,1,4,5
700,1,3,2,5,4,1,1,3
701,1,4,2,3,3,2,3,3
702,1,3,7,3,5,2,3,3
703,1,2,1,5,1,2,2,1
704,NA,2,1,5,3,2,3,5
705,1,2,2,5,NA,3,3,3
706,2,3,3,2,2,2,1,3
707,1,1,1,1,1,2,2,3
708,2,1,1,4,5,3,1,1
709,1,2,1,1,1,2,2,3
710,2,1,1,1,1,1,5,2
711,1,1,1,1,1,2,5,5
712,NA,2,1,4,2,2,3,2
713,2,1,1,1,1,1,5,6
714,1,3,3,4,3,2,3,4
715,1,1,1,1,1,2,2,5
716,1,3,5,2,3,4,3,3
717,1,3,1,5,4,4,4,3
718,1,1,1,1,1,4,2,5
719,2,2,1,5,2,2,3,1
720,1,1,1,1,1,2,3,2
721,1,1,1,1,1,1,2,3
722,2,1,1,1,1,1,1,5
723,2,2,6,3,1,3,5,3
724,1,1,1,4,3,4,4,5
725,2,2,1,5,1,2,3,2
726,1,2,1,2,1,4,1,5
727,1,1,1,2,1,1,3,3
728,1,2,1,5,1,4,3,2
729,2,1,1,2,1,4,3,3
730,1,1,1,2,1,4,2,3
731,NA,2,1,2,1,4,1,2
732,1,1,1,2,1,4,5,3
733,1,1,1,1,1,3,5,5
734,1,4,2,4,3,4,5,3
735,2,1,1,1,1,4,1,2
736,1,3,4,4,3,4,3,3
737,2,2,1,2,1,4,2,3
738,1,2,1,3,1,4,2,3
739,1,1,1,2,1,4,3,3
740,1,1,1,1,1,2,2,5
741,1,NA,5,5,NA,3,3,2
742,1,NA,1,4,1,3,3,3
743,1,2,4,3,3,2,2,4
744,2,1,1,1,2,4,3,1
745,1,4,7,3,3,3,2,2
746,1,1,1,1,NA,4,2,1
747,NA,4,1,4,3,4,3,3
748,1,3,2,4,3,2,3,1
749,1,NA,1,1,1,2,1,5
750,1,1,1,1,1,2,3,5
751,2,2,1,5,1,1,1,3
752,2,3,2,3,3,2,3,1
753,1,1,1,5,4,2,1,5
754,1,2,1,3,1,3,2,1
755,1,1,1,1,1,2,2,2
756,1,2,6,3,1,2,2,4
757,1,2,1,5,1,4,2,5
758,2,2,1,3,1,2,3,3
759,1,1,1,1,1,2,3,1
760,1,1,1,2,1,1,3,2
761,1,NA,1,3,1,3,3,3
762,NA,4,5,3,3,3,1,3
763,2,1,1,1,1,1,1,2
764,NA,2,2,2,2,3,4,5
765,1,5,7,1,1,2,5,3
766,1,1,1,1,1,2,2,3
767,1,3,2,2,3,2,3,2
